,doc number,location,sentence,country mentions,cities
0,0,['Biodiversitätsdach'],"Biodiversitätsdach auf dem Besucherzentrum der IGA Berlin 2017
 ","OrderedDict([('DE', 1)])",['Berlin']
1,0,"['Berlin', 'Pflanzenauswahl']","Dachbegrünung und Biodiversität
 
 2
 
 Besucherzentrum IGA Berlin 2017
 
 4
 
 Biodiversitätsmodule
 
 6
 
 Pflanzenauswahl
 
 12
 
 Pflege und Monitoring
 
 14
 
 Planung","OrderedDict([('DE', 1)])",['Berlin']
11,0,['Schorndorf'],Ansprechpartner im Bereich der Nisthilfen war die Firma Schwegler Vogelund Naturschutzprodukte GmbH aus Schorndorf.,"OrderedDict([('DE', 1)])",['Schorndorf']
12,0,['Falkensee'],Für das Totholz zeichnete sich die Firma Kusche und Dremel GmbH Baumdienst aus Falkensee verantwortlich.,"OrderedDict([('DE', 1)])",['Falkensee']
16,1,"['Hamburg', 'Hannover', 'Berlin', 'Kornwestheim']","(Deutscher Dachgärtner Verband e.V. - DDV), Julian Zeidler (Deutsches Zentrum für Luft- und Raumfahrt - DLR), Dr. Thomas Esch (Deutsches Zentrum für Luft- und Raumfahrt - DLR), Dr. Hanna Bornholdt (Behörde für Umwelt und Energie ­ BUE, Hamburg), Alexander Schmid (Amt für Stadtplanung und Stadterneuerung, Stuttgart), Helmut Wahle (Fachbereich Umwelt und Stadtgrün, Hannover), Brigitte Reichmann (Senatsverwaltung für Stadtentwicklung und Umwelt, Berlin), Hans Müller (Helix Pflanzensysteme GmbH, Kornwestheim), Dr. Bernd Eisenberg (Universität Stuttgart), Dr.-Ing.","OrderedDict([('DE', 5)])","['Hamburg', 'Stuttgart', 'Hannover', 'Berlin', 'Kornwestheim']"
26,1,"['Berlin', 'Hamburg', 'Hannover', 'Ludwigsburg', 'Stuttgart', 'Potenzialanalyse']","Neben aktuellen Gründach-Initiativen aus Berlin, Hamburg, Hannover, Ludwigsburg und Stuttgart stellen wir Ihnen dabei auch das spannende Forschungsprojekt ,,Inventarisierung und Potenzialanalyse von Dachbegrünung"" vor.","OrderedDict([('DE', 5)])","['Berlin', 'Hamburg', 'Hannover', 'Ludwigsburg', 'Stuttgart']"
27,1,['Hannover'],"25
 
 Hannover:","OrderedDict([('DE', 1)])",['Hannover']
28,1,['Stuttgart'],"Gebäudebegrünung als Bestandteil der Klimaanpassungsstrategie
 
 28
 
 Stuttgart:","OrderedDict([('DE', 1)])",['Stuttgart']
30,1,['Berlin'],"32
 
 Berlin:","OrderedDict([('DE', 1)])",['Berlin']
31,1,['Ludwigsburg'],"Ökologische Gebäudekonzepte und Modellvorhaben
 
 36
 
 Ludwigsburg:","OrderedDict([('DE', 1)])",['Ludwigsburg']
37,1,"['Berlin', 'Hamburg', 'Hannover', 'Ludwigsburg', 'Stuttgart']","Die in dieser Broschüre vorgestellten praktischen Beispiele aus Berlin, Hamburg, Hannover, Ludwigsburg und Stuttgart zeigen, wie vielfältig das Instrumentarium der Handlungsfelder ""Fordern, Fördern, Informieren"" ist, aus dem sich die Kommunen bedienen können.
 ","OrderedDict([('DE', 5)])","['Berlin', 'Hamburg', 'Hannover', 'Ludwigsburg', 'Stuttgart']"
44,1,"['Pilotprojektes', 'Hamburg', 'BUE', 'Stuttgart', 'Amt für Umweltschutz', 'München']","Zu den weiteren Kooperationspartnern des Pilotprojektes gehören die Städte Hamburg (Behörde für Umwelt und Energie - BUE), Karlsruhe (Gartenbauamt), Stuttgart (Amt für Umweltschutz), München (Referat für Gesundheit und Umwelt) und Nürtingen (Dezernat III) sowie die HafenCity Universität Hamburg (HCU), die Firma ZinCo GmbH und die Deutsche Gartenamtsleiterkonferenz (GALK).","OrderedDict([('DE', 2)])","['Karlsruhe', 'Stuttgart']"
65,1,"['Straße', '\n ']","Man sieht an dieser Stelle bereits, dass die vorhandenen Gründächer (Abb. 1, Bild rechts, Gebäude unterhalb der Straße) ein sehr viel schwächeres Vegetationssignal aufweisen als die im Bild deutlich zu erkennenden Bäume am Boden.
 ","OrderedDict([('CI', 1), ('SE', 1)])","['Man', 'Boden']"
119,1,['Ökosystemleistungen'],"Die damit einhergehende Quantifizierung der gesamten Ökosystemleistungen begrünter Dächer und die engere Verzahnung mit den Grünflächen am Boden gehören zu den wichtigen zukünftigen Aufgaben.
 
 ","OrderedDict([('SE', 1)])",['Boden']
126,1,"['Kommunales', 'Berlin']",/ Kommunales Grünprogramm Berlin:,"OrderedDict([('DE', 1)])",['Berlin']
